Port_of_disembarqm,Date,Year,Month,Fishing_ground,Fishing_gear,Species,Total_Length_cm
BARRA CARAVELAS,05-07-2006,2006,7,PEDRA ALTA,Hand_line,L_synagris,21.1
BARRA CARAVELAS,05-07-2006,2006,7,PEDRA ALTA,Hand_line,L_synagris,19
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,52.7
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,55.8
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,53.5
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,51
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,42.4
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,47.1
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,50.1
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,48.7
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,40.4
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,44.3
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,39.3
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,50.3
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,52
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,44
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,38.7
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,39.7
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,48.5
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,47.5
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,41.2
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,39.9
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,44.8
PONTA DE AREIA,05-07-2006,2006,7,PARCEL DAS PAREDES,Hand_line,L_synagris,43
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,49
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,44.5
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,40.7
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,46.3
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,47.8
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,42.3
PONTA DE AREIA,12-08-2006,2006,8,PEDRA ALTA,Hand_line,L_synagris,47.5
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,26.2
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,25
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,23.8
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,25.7
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,33
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,31.5
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,25.6
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,32.4
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,30
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,27.7
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,29.7
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,25.5
PONTA DE AREIA,12-08-2006,2006,8,PEDRA GRANDE,Hand_line,L_synagris,26.7
BARRA,05-09-2006,2006,9,PEDRA DE LESTE,Hand_line,L_synagris,25
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,22.5
PONTA DE AREIA,10-10-2006,2006,10,RECIFE DALIXA,Hand_line,L_synagris,49.6
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,23
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,21.5
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,26
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,24.2
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,24.2
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,26
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,19
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,24
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,17.5
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,15.5
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,26
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,15
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,22.5
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,21
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,20.5
PONTA DE AREIA,10-10-2006,2006,10,SARRADINHO,Hand_line,L_synagris,19.5
JUBARTE PESCADOS,10-10-2006,2006,10,AREA DE ABROLHOS,Hand_line,L_synagris,35.3
JUBARTE PESCADOS,10-10-2006,2006,10,AREA DE ABROLHOS,Hand_line,L_synagris,30
JUBARTE PESCADOS,10-10-2006,2006,10,AREA DE ABROLHOS,Hand_line,L_synagris,34
JUBARTE PESCADOS,10-10-2006,2006,10,AREA DE ABROLHOS,Hand_line,L_synagris,37.5
JUBARTE PESCADOS,10-10-2006,2006,10,AREA DE ABROLHOS,Hand_line,L_synagris,28.7
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,41.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,39.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,40
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,41.7
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,39.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,36.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,37.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,37.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,36.6
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,32.1
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,34.2
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,33.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,32.7
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,30
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,31
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,36.5
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,25
JUBARTE PESCADOS,18-11-2006,2006,11,BARRANCO FRENTE S«O MATEUS,Hand_line,L_synagris,28.7
